名称,人气
约翰·赫特,6695 
刘燕瑾,13 
黄宗洛,616 
布拉德·道里夫,495 
鲁伯特·格林特,9698 
菲利普·格里夫,6 
丽芙·泰勒,24258 
约翰·瑞斯-戴维斯,240 
约瑟夫·米卡-亨特,1 
伊利亚·伍德,5342 
肖聪,93 
玛吉·史密斯,11330 
艾伦·瑞克曼,26402 
约翰·克里斯,617 
J.R.R.托尔金,3003 
萨拉·贝克,41 
劳伦斯·马克奥雷,8 
山姆·伍德,170 
彼得·杰克逊,15066 
J.K.罗琳,3988 
肖恩·比格斯代夫,3874 
安德鲁·莱斯尼,58 
凯特·布兰切特,62358 
伊恩·麦克莱恩,21934 
肖恩·宾,5723 
多米尼克·莫纳汉,1166 
罗彼·考特拉尼,589 
比利·博伊德,535 
沙恩·朗吉,3 
布雷特·麦肯齐,216 
AlexandraAstin,14 
霍华德·肖,369 
西恩·奥斯汀,1392 
伊安·霍姆,497 
乔治·库克,2195 
IanHughes,2 
布鲁斯·霍普金斯,9 
萨德文·布罗菲,6 
ToddRippon,0 
安迪·瑟金斯,5101 
阿兰·霍华德,15 
PaulNorell,0 
奥利维娅·德哈维兰,1930 
托马斯·米切尔,160 
布鲁斯·菲利普斯,3 
米兰达·奥图,1888 
SarahMcLeod,7 
乔·斯沃林,15 
RobertPollock,1 
迈克尔·斯曼内科,0 
大卫·文翰,952 
佩特·史密斯,4 
史蒂芬·乌瑞,5 
雨果·维文,20863 
埃弗雷特·布朗,5 
吉诺·阿赛维多,5 
RobertCatto,5802 
MichaelElsworth,0 
克里斯托弗·李,4094 
弗莱德·克莱恩,6 
亨利·莫腾森,3 
HarrySinclair,163 
布鲁斯·斯宾斯,48 
本·赫克特,219 
约翰·斯蒂芬森,4 
克里斯蒂安·瑞沃斯,54 
杰德·布罗菲,34 
理查德·泰勒,29 
玛格丽特·米歇尔,42 
卡洛尔·奈,4 
SandroKopp,8 
费雯·丽,23593 
克雷格·帕克,506 
芭芭拉·欧内尔,73 
利昂娜·罗伯特,6 
约翰·范·德鲁登,12 
奥利弗·H·P·加勒特,13 
乔治·里弗斯,12 
维克多·弗莱明,1411 
艾瑞克·林登,2 
李濬益,2076 
奥斯卡·波尔克,5 
金智慧,52 
西德尼·霍华德,31 
安·卢瑟福德,99 
克拉克·盖博,12397 
李来,2424 
兰德·布鲁克斯,11 
海蒂·麦克丹尼尔斯,172 
杨真诚,330 
莱斯利·霍华德,542 
卡米·金·肯伦,9 
霍华德·C·希克曼,4 
权泰元,14 
艾丽·道克特,3 
乔丹·长井,23 
巴特弗莱·麦昆,12 
劳拉·霍普·克鲁斯,12 
埃迪·安德森,4 
伊夫林·凯耶斯,233 
严志媛,1158 
施热亚·简,7 
阿帕尔夏克提·库拉那,111 
欧娜·满森,25 
杰里米·利里,4 
艾丽西亚·瑞特,23 
沃德·邦德,41 
