动起来享康乐 近百名网球爱好者中原网球中心挥拍展风采,2021-06-28,http://tyj.henan.gov.cn/2021/06-29/2173090.html
在“太极圣地”比试太极 | 河南省第八届太极拳健身大赛焦作举行,2021-06-28,http://tyj.henan.gov.cn/2021/06-28/2172685.html
“我要上全运”毽球项目选拔赛开始报名,2021-06-25,http://tyj.henan.gov.cn/2021/06-25/2170920.html
健康送到村里来,2021-06-23,http://tyj.henan.gov.cn/2021/06-25/2170903.html
体育总局、发改委：社会足球场地每周开放不少于35小时,2021-06-24,http://tyj.henan.gov.cn/2021/06-24/2170727.html
建设体育强国 激扬奋斗豪情,2021-06-24,http://tyj.henan.gov.cn/2021/06-24/2170723.html
夕阳灿烂心向党 百年历程铸辉煌 第九届河南省老年人文体优秀节目大赛开赛,2021-06-22,http://tyj.henan.gov.cn/2021/06-22/2168731.html
掌握游泳技能！河南省体育中心游泳夏令营正式开营,2021-06-22,http://tyj.henan.gov.cn/2021/06-22/2168681.html
国家发展改革委下达全民健身设施补短板工程2021年中央预算内投资计划,2021-06-21,http://tyj.henan.gov.cn/2021/06-21/2168399.html
体育总局下发十四运会群众赛事活动展演类项目规程,2021-06-21,http://tyj.henan.gov.cn/2021/06-21/2168228.html
河南，这场培训推动象棋进校园,2021-06-21,http://tyj.henan.gov.cn/2021/06-21/2167850.html
“我要上全运”河南省龙舟选拔赛举行,2021-06-17,http://tyj.henan.gov.cn/2021/06-17/2166582.html
濮阳：强身健体练太极,2021-06-17,http://tyj.henan.gov.cn/2021/06-17/2165860.html
龙舟竞渡渤海湖 黄河龙舟邀请赛郑州站开桨,2021-06-15,http://tyj.henan.gov.cn/2021/06-15/2164004.html
河南象棋：团体战绩创最佳 大师队伍添新人,2021-06-15,http://tyj.henan.gov.cn/2021/06-15/2163976.html
“比武上全运”，羽毛球业余高手会战郑州,2021-06-15,http://tyj.henan.gov.cn/2021/06-15/2163969.html
郑东新区，防溺水公益宣讲走进校园,2021-06-11,http://tyj.henan.gov.cn/2021/06-11/2163697.html
端午将至，沙颍河上龙舟飞渡,2021-06-11,http://tyj.henan.gov.cn/2021/06-11/2162144.html
健身优惠券咋用？来看培训详解,2021-06-10,http://tyj.henan.gov.cn/2021/06-10/2161472.html
省游泳馆优质服务 助力全民健身,2021-06-10,http://tyj.henan.gov.cn/2021/06-10/2161392.html
张国文：阳光“大块头”的运动人生,2021-06-08,http://tyj.henan.gov.cn/2021/06-08/2160191.html
“比武上全运”，羽毛球业余高手会战郑州,2021-06-15,http://tyj.henan.gov.cn/2021/06-15/2163969.html
郑东新区，防溺水公益宣讲走进校园,2021-06-11,http://tyj.henan.gov.cn/2021/06-11/2163697.html
端午将至，沙颍河上龙舟飞渡,2021-06-11,http://tyj.henan.gov.cn/2021/06-11/2162144.html
健身优惠券咋用？来看培训详解,2021-06-10,http://tyj.henan.gov.cn/2021/06-10/2161472.html
