电影名,上映年度,电影英文名,类型,上映时间,国家及地区,累计票房
空战英豪,2007,Flyboys,战争,2007-2-9（中国）,英国/美国,无
蜂机,2005,Flying Virus,科幻,2005-5-13（中国）,美国/巴西,200.0万
淘金俏冤家,2008,FOOL'S GOLD,喜剧/爱情/冒险,2008-5-26（中国）,美国,1223.1万
风云2,2009,The Storm Riders II,奇幻,2009-12-9（中国）,中国香港/中国,5678.4万
佛莱迪大战杰森,2003,Freddy vs. Jason,动作/冒险/恐怖/惊悚,2003-10-31（中国）,美国/意大利,无
亡命天涯,1994,"Fugitive, The",动作/犯罪/惊悚,1994-11-12（中国）,美国,无
豚鼠特攻队,2009,G-Force,剧情,2009-11-24（中国）,美国,2719.6万
特种部队：眼镜蛇的崛起,2009,G.I. Joe: The Rise of Cobra,动作,2009-8-7（中国）,美国,12691.6万
嫁个有钱人,2002,Marry a Rich Man,喜剧,2002-4-11（中国）,中国香港,无
加菲猫,2004,Garfield,喜剧,2004-12-17（中国）,美国,无
加菲猫2之双猫记,2006,Garfield: A Tail of Two Kitties,动画,2006-8-11（中国）,英国/美国,5673.0万
灵魂战车2：复仇时刻,2012,Ghost Rider: Spirit of Vengeance,动作/惊悚,2012-4-20（中国）,美国,5699.8万
角斗士,2000,Gladiator,动作,2000-8-12（中国）,英国/美国,无
一球成名,2006,Goal!,剧情,2006-3-24（中国）,英国/美国,678.0万
独自等待,2005,Waiting Alone,爱情,2005-9-8（中国）,中国,203.1万
黄金罗盘,2008,"Golden Compass, The",奇幻/动作/惊悚/冒险,2008-3-28（中国）,美国/英国,3360.9万
青蜂侠,2011,The Green Hornet,动作/喜剧/犯罪,2011-2-8（中国）,美国,13819.2万
猫头鹰王国,2010,Legend of the Guardians: The Owls of Ga,动画/奇幻/冒险,2010-11-12（中国）,美国/澳大利亚,2998.4万
全民超人汉考克,2008,Hancock,喜剧/动作,2008-7-2（中国）,美国,9227.0万
哈利·波特与密室,2003,Harry Potter and the Chamber of Secrets,奇幻/动作/冒险/悬疑,2003-1-24（中国）,英国/美国/德国,5228.5万
哈利·波特与死亡圣器(上),2010,Harry Potter and the Deathly Hallows: Part 1,奇幻/冒险/动作/悬疑,2010-11-19（中国）,英国/美国,21063.3万
哈利·波特与死亡圣器(下),2011,Harry Potter and the Deathly Hallows: Part 2,奇幻/冒险/悬疑/动作,2011-8-4（中国）,英国/美国,49138.6万
哈利·波特与火焰杯,2005,Harry Potter and the Goblet of Fire,奇幻/动作/冒险/悬疑,2005-11-18（中国）,英国/美国,9400.2万
哈利·波特与混血王子,2009,Harry Potter and the Half-Blood Prince,奇幻/动作/冒险/悬疑,2009-7-15（中国）,英国/美国,15524.1万
哈利·波特与凤凰社,2007,Harry Potter and the Order of the Phoenix,奇幻/动作/冒险/悬疑,2007-8-10（中国）,英国/美国,14526.9万
哈利·波特与阿兹卡班的囚徒,2004,Harry Potter and the Prisoner of Azkaban,奇幻/动作/冒险/悬疑,2004-9-10（中国）,英国/美国,3870.4万
美国人在中国,1900,"American in China, An",喜剧,2008（中国）,中国/美国,无
哈特的战争,1900,Hart's War,战争,（中国）,美国,无
