,score,city,comment
129,5.0,成都,夏洛特烦恼了
130,5.0,深圳,挺搞笑的 便宜
131,5.0,上海,这是我迄今为止最喜欢的一部喜剧片，回味无穷
132,5.0,大庆,"特别喜欢！特别搞笑！人生中的第一个在电影院看的电影，值得纪念！
妈妈说，其实就是讲了一个非常简单的故事，珍惜眼前人"
133,5.0,昆山,好看  棒棒哒
134,3.5,广州,不错，我看了笑点还密集，都是语言包袱。
135,5.0,北京,哈哈哈，特别搞笑
136,5.0,慈溪,好看，喜剧片总有让人发笑的看点
137,4.5,驻马店,，，，，摸摸哒！！
138,4.5,武汉,好看！好看。国产佳片！
139,5.0,昆明,再回头看的时候，后悔那时候没有听沈腾的买房，买房！现在18年的房价是15年的一倍还要多.......说什么好，那时候还笑，真的和大春没有区别啊
140,4.0,泰安,可以可以可以
141,5.0,北京,好看好看好看
142,4.5,大连,没有失望的一次电影之旅
143,5.0,广州,好看好看好看
144,4.0,扬中,剧情挺搞笑的~
145,5.0,鄂州,好看以后多拍点
146,5.0,沈阳,容华只觉秋雅香，贫困才知冬梅好。
147,5.0,宣城,物是人非……
148,5.0,深圳,看的最好的电影了
149,4.5,杭州,很感动，很搞笑，恒久不变的主题“珍惜身边平凡的幸福…”希望我们都做得到！
150,5.0,泰州,很划算，下次还团
151,4.5,义乌,太好玩了，这个影片非常喜欢，会介绍给朋友看。
152,4.0,孟津,珍惜眼前人，善待喜欢自己的人
153,5.0,松原,好看，不错。
154,5.0,武汉,很完美，近三年看过的最好的，没有之一。
155,5.0,上海,好看好看好看
156,4.5,玉环,虽然演员看起来老了 但是剧情真心不错
157,4.5,宝鸡,很喜欢开心麻花的作品，总是给人意外的惊喜和欢乐
158,5.0,惠阳,曾经的曾经。
159,4.5,内江,赞。。。。。。。。。。。。。。
160,5.0,徐州,很难忘的观影体验，和最喜欢的人在一起去看
161,5.0,信阳,好看的不得了
162,5.0,赣州,看着还不错，
163,4.0,北京,搞笑，卷帘门！
164,5.0,沈阳,好搞笑的一部电影，剧中的插曲《一剪梅》总是在搞笑的时间播放，结束时播放，很多观众都回头看向大屏幕
165,4.0,江阴,很搞笑，和老婆看的很开心
166,5.0,云浮,好看，好看，好看，
