MMSI,BaseDateTime,LAT,LON,SOG,COG
412306658,2019-01-04 05:20:00,34.1491589,120.782881,0.895460614,137.681041
412306658,2019-01-04 05:25:00,34.1497392,120.782328,1.72911695,202.777327
412306658,2019-01-04 05:30:00,34.1531008,120.774478,7.24224344,286.763007
412306658,2019-01-04 05:35:00,34.1582651,120.763071,8.56968974,298.404296
412306658,2019-01-04 05:40:00,34.1636594,120.75034,8.76592179,293.470391
412306658,2019-01-04 05:45:00,34.169572,120.738385,8.57375,292.625833
412306658,2019-01-04 05:50:00,34.1722519,120.724145,8.86611111,279.362778
412306658,2019-01-04 05:55:00,34.1739756,120.709745,8.28044693,274.134078
412306658,2019-01-04 06:00:00,34.1747652,120.707533,6.55179487,197.441538
412306658,2019-01-04 06:05:00,34.1762704,120.716197,7.87453027,75.1018789
412306658,2019-01-04 06:10:00,34.1792225,120.728796,7.74926931,75.6029228
412306658,2019-01-04 06:15:00,34.1821875,120.741244,7.48072289,74.7036145
412306658,2019-01-04 06:20:00,34.1848061,120.751698,6.8344416,82.1362319
412306658,2019-01-04 06:25:00,34.1861916,120.755555,5.19761296,121.701449
412306658,2019-01-04 06:30:00,34.187577,120.759411,3.56078431,161.266667
412306658,2019-01-04 06:35:00,34.1889622,120.763268,1.92395567,200.831884
413816122,2019-01-04 00:00:10,34.2415017,119.622025,7.5,230.7
413816122,2019-01-04 00:05:10,34.23486,119.611819,7.82274882,231.258768
413816122,2019-01-04 00:10:10,34.2287828,119.601074,7.51731844,246.096089
413816122,2019-01-04 00:15:10,34.2244529,119.590372,6.63,235.28
413816122,2019-01-04 00:20:10,34.2184422,119.582414,6.55481172,220.785356
413816122,2019-01-04 00:25:10,34.2119757,119.574101,7.25183246,235.651832
413816122,2019-01-04 00:30:10,34.20792,119.562881,7.08543046,252.835099
413816122,2019-01-04 00:35:10,34.2068385,119.552242,6.208,284.972
413816122,2019-01-04 00:40:10,34.2122346,119.543916,6.92651934,320.310497
413816122,2019-01-04 00:45:10,34.2212311,119.537919,7.8916129,338.44129
413816122,2019-01-04 00:50:10,34.2319777,119.534002,8.07880795,336.47947
413816122,2019-01-04 00:55:10,34.2355162,119.52567,7.15,261.983333
413816122,2019-01-04 01:00:10,34.2344893,119.513509,7.95933333,280.213333
413816122,2019-01-04 01:05:10,34.2413603,119.508894,6.22421525,338.00852
413816122,2019-01-04 01:10:10,34.2423937,119.502311,6.2584323,284.852494
413816122,2019-01-04 01:15:10,34.2413946,119.492825,6.94814815,255.131481
413816122,2019-01-04 01:20:10,34.2379081,119.481318,8.00753968,238.574206
413816122,2019-01-04 01:25:10,34.2311623,119.47135,7.45277778,228.811667
413816122,2019-01-04 01:30:10,34.2247171,119.465062,6.43461538,212.078526
413816122,2019-01-04 01:35:10,34.2172908,119.461545,5.95962963,197.365556
413816122,2019-01-04 01:40:10,34.2098157,119.457983,5.87717042,214.845981
413816122,2019-01-04 01:45:10,34.2054833,119.450833,6.3,268.9
413816122,2019-01-04 01:50:10,34.2042188,119.442588,4.97036011,252.113296
413816122,2019-01-04 01:55:10,34.2010299,119.435697,4.7,234.021865
413816122,2019-01-04 02:00:10,34.1970776,119.430647,2.73056478,189.226578
413816122,2019-01-04 02:05:10,34.1958749,119.429259,0.941836735,75.7714286
413816122,2019-01-04 02:10:10,34.1955575,119.428401,0.975838926,38.4583893
413816122,2019-01-04 02:15:10,34.1952074,119.426935,2.92214765,117.921477
413816122,2019-01-04 02:20:10,34.1948572,119.42547,4.86845638,197.384564
413816122,2019-01-04 02:25:10,34.1909535,119.422684,6.21333333,206.077778
413816122,2019-01-04 02:30:10,34.1823674,119.421343,6.63571429,176.721429
413816122,2019-01-04 02:35:10,34.1751269,119.419914,5.37272727,196.346364
413816122,2019-01-04 02:40:10,34.1690106,119.4174,5.20806452,225.712903
413816122,2019-01-04 02:45:10,34.1643811,119.412362,5.661,243.435
413816122,2019-01-04 02:50:10,34.1613623,119.403416,6.10142857,250.047143
413816122,2019-01-04 02:55:10,34.158017,119.393578,6.5,234.248649
413816122,2019-01-04 03:00:10,34.1535446,119.384341,6.3875,240.0125
413816122,2019-01-04 03:05:10,34.1496643,119.375012,6.0434903,244.338504
413816122,2019-01-04 03:10:10,34.1461283,119.366496,5.54487535,240.266482
413816122,2019-01-04 03:15:10,34.1429293,119.35843,5.25982405,240.140176
413816122,2019-01-04 03:20:10,34.1399728,119.351149,4.72531969,241.030691
413816122,2019-01-04 03:25:10,34.1372033,119.344364,4.30873786,239.45534
413816122,2019-01-04 03:30:10,34.134227,119.338963,3.68808864,230.939889
413816122,2019-01-04 03:35:10,34.1312038,119.335478,2.19526814,216.680442
413816122,2019-01-04 03:40:10,34.1297735,119.334091,0.1,197.437664
413816122,2019-01-04 03:45:10,34.1297746,119.334097,0.1,165.98024
413816122,2019-01-04 03:50:10,34.1297757,119.334102,0.1,134.522817
413816122,2019-01-04 03:55:10,34.1297768,119.334108,0.1,103.065393
413816122,2019-01-04 04:00:10,34.1297779,119.334114,0.1,71.6079694
